video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,"When does the woman appear disappointed, speaking in a measured and restrained tone?",0-5s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q02,emotion_state,"When does the woman appear frustrated, speaking in a calm but slightly exasperated tone?",5-10s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,emotion_state,"When does the woman appear frustrated, speaking with a clipped, high-pitched, and emotionally charged tone?",10-15s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,explicit_event,"When does the woman forcefully state 'You are a human affront to all women,' sounding angry?",15-20s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,emotion_state,"When does the woman appear frustrated, asking 'How do you know?' with a questioning and incredulous tone?",25-30s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q11,emotion_state,"When does the woman appear sad, responding with a gentle, empathetic 'Oh'?",50-55s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q12,emotion_state,"When does the woman appear disappointed, saying 'I forgot' with a sigh?",55-60s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q13,emotion_state,"When does the woman appear frustrated, stating 'Nothing' in a calm, detached manner?",60-65s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q14,emotion_state,"When does the man appear frustrated, asking 'What was that supposed to mean?' in a weary tone?",60-65s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q16,emotion_state,"When does the man appear frustrated, asking 'You don’t think that I can tell the difference?' with playful challenge?",65-70s,,,
