video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q05,explicit_event,"When does the woman take the knife from the child and pull them into a hug, showing a shift from fear to comfort?",70-75s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q07,emotion_state,"At what point does the woman appear shocked as she holds the child, after a loud scream and crashing sound?",80-85s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q11,explicit_event,"When does the man break down the door, followed by a woman's panicked breathing and a child's whimpering, suggesting fear?",105-110s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q15,explicit_event,"When does the woman look out a frosted window with a shocked expression, then crawl through it into the snow?",175-180s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q18,explicit_event,"When does the woman, partially buried in snow, cry out in distress and struggle to move?",195-200s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q21,explicit_event,"When does the man shout loudly and intensely with an agitated tone, appearing angry?",220-225s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q23,explicit_event,"When does the woman scream in terror while holding a knife, as a door is broken down?",235-240s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q24,emotion_state,"At what point does the woman appear to be in extreme panic, screaming with wide eyes and holding a knife?",240-245s,,,
emostim_02_WhenSallyMetHarry_clip_1_q06,emostim_02_WhenHarryMetSally_clip_1_q06,evidence_cue,"When does the woman groan repeatedly, indicating exasperation?",100-105s,,,
emostim_02_WhenSallyMetHarry_clip_1_q07,emostim_02_WhenHarryMetSally_clip_1_q07,evidence_cue,When does the man make a pained expression?,105-110s,,,
emostim_02_WhenSallyMetHarry_clip_1_q10,emostim_02_WhenHarryMetSally_clip_1_q10,emotion_state,When does the woman appear happy while shouting and laughing?,125-130s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,When does the man in the brown suit appear happy while riding his bicycle?,25-30s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,When does the man in the brown suit smile while riding his bicycle?,25-30s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,emotion_state,When does the man in the brown suit appear happy and give a thumbs-up while riding his bicycle?,35-40s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q05,explicit_event,When does the man in the brown suit smile and give a thumbs-up to the camera while cycling?,35-40s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q06,emotion_state,At what point does the man in the brown suit appear happy while cycling past other cyclists?,40-45s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q08,emotion_state,When does the man in the brown suit appear frustrated while pedaling hard?,55-60s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q10,explicit_event,When does the man in the brown suit smile at a chicken in a cage?,65-70s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q11,emotion_state,"When does the man in the brown suit appear surprised with a wide, open-mouthed expression?",70-75s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,evidence_cue,When does the young woman appear to be in distress with a tense expression?,0-5s,,,
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q08,emotion_state,When does the woman appear worried or sad?,80-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,evidence_cue,"When does the young boy show distress with his mouth open and heavy breathing, indicating sadness?",5-10s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,emotion_state,"At what point does the young child appear sad, with a contorted face and gripping the adult's arms?",10-15s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,emotion_state,"When does the young boy appear sad, with tears on his face and wailing?",15-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,emotion_state,"At what point does the young boy seem sad, crying with tears and a breaking voice?",25-30s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,emotion_state,"When does the young boy exhibit sadness, crying with tears and a breaking voice while holding his hands?",30-35s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q06,emotion_state,At what point does the young boy appear distressed and crying after seeing blood on his hands?,35-40s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q07,emotion_state,When does the young boy show distress with a contorted face and crying while holding his injured hand?,40-45s,,,
