video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,When does the woman with voluminous blonde hair appear surprised?,80-85s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,emotion_state,"When does the woman with blonde, curly hair appear sad and pensive?",85-95s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,evidence_cue,"When does the woman groan in pain and sigh wearily, looking down with a pained expression?",85-95s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q05,emotion_state,When does the woman with blonde hair show signs of sadness and discomfort?,95-105s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,emotion_state,When do the woman and man show a pained expression?,105-110s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q13,emotion_state,When does the woman appear excited?,120-130s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q14,evidence_cue,When does the woman shout and laugh excitedly with her head tilted back?,120-130s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q16,emotion_state,"When does the woman appear distressed, clutching her chest and gasping?",140-145s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,When does the man appear happy while riding his bicycle?,25-40s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,"When does the man smile and give a thumbs-up gesture, showing happiness?",35-40s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,evidence_cue,"When does the man look down with a strained expression, showing frustration?",50-55s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q05,emotion_state,"When does the man seem surprised with a wide, open-mouthed expression?",70-75s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q07,emotion_state,"When does the man appear surprised as his expression shifts to a wide, unsettling smile?",110-115s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q08,explicit_event,"When does the man raise his hand in a gesture after looking at the cage, as if showing surprise?",110-115s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,emotion_state,When does the young child appear sad while crying?,5-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,evidence_cue,"When does the young child cry loudly and wail, showing sadness?",5-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,evidence_cue,"When does the young boy's voice break as he cries and whimpers, indicating sadness?",20-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,emotion_state,"When does the young boy appear sad, crying and looking at a bleeding hand?",20-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q06,emotion_state,"When does the man with thinning hair appear sad, holding his head in his hands?",60-70s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q08,emotion_state,"When does the young child appear sad, crying and pleading while clinging to a man's leg?",75-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q09,evidence_cue,"When does the young boy cry and shout in distress, with a high-pitched, strained voice, showing sadness?",80-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q10,emotion_state,"When does the young boy appear sad, crying with tears and speaking in a distressed, high-pitched voice?",85-115s,,,
meld_01_dia337,meld_01_dia337_q01,emotion_state,When does the man in the blue shirt appear surprised?,55-60s,,,
meld_01_dia337,meld_01_dia337_q02,evidence_cue,When does the man in the blue shirt turn his head sharply and show surprise?,55-60s,,,
meld_01_dia337,meld_01_dia337_q03,explicit_event,When does the man in the blue shirt react with surprise to something said?,55-60s,,,
meld_01_dia337,meld_01_dia337_q04,emotion_state,When does the man in the pink shirt appear surprised?,65-67.9s,,,
meld_01_dia337,meld_01_dia337_q05,evidence_cue,When does the man in the pink shirt look up and to his left with a surprised expression?,65-67.9s,,,
meld_03_dia572,meld_03_dia572_q01,emotion_state,When does the woman in the hospital gown appear sad?,5-10s,,,
meld_03_dia572,meld_03_dia572_q02,emotion_state,"When does the woman with dark, wavy hair appear frustrated?",45-50s,,,
meld_03_dia572,meld_03_dia572_q03,explicit_event,"When does the woman in the hospital gown speak in a strained and pained tone, indicating sadness?",20-25s,,,
meld_03_dia572,meld_03_dia572_q05,evidence_cue,"When does the woman shout angrily with a high-pitched and strained voice, showing frustration?",45-51.81s,,,
meld_03_dia572,meld_03_dia572_q06,explicit_event,"When does the woman shout using harsh language, conveying frustration?",50-51.81s,,,
