start	end	text
531	2312	You know, I'm so glad I never got involved with you.
3133	8215	I just would have ended up being some woman you had to get up out of bed and leave at 3 o'clock in the morning and go clean your AND irons.
8855	10156	And you don't even have a fireplace.
10436	11357	Not that I would know this.
12017	13118	Why are you getting so upset?
13138	13898	This is not about you.
14438	15139	Yes, it is.
15579	18040	You are a human affront to all women, and I am a woman.
18780	21162	Hey, I don't feel great about this, but I don't hear anyone complaining.
21862	22342	Of course not.
22362	23383	You're out the door too fast.
24703	25924	I think they have an OK time.
26985	27425	How do you know?
27445	29666	I mean, how do I know I know?
31017	31717	Because they...
32718	36900	Yes, because they... How do you know that they're really?
37861	38961	What are you saying?
39061	40542	That they fake orgasm?
41203	41883	It's possible.
42463	43164	Get out of here.
43584	43844	Why?
44264	46285	Most women at one time or another have faked it.
47106	48326	Well, they haven't faked it with me.
48787	49387	How do you know?
51228	55130	Because I... Oh.
55971	56511	Right.
56591	57011	That's right.
57852	58212	I forgot.
59063	59563	You're a man.
60224	61144	What does that supposed to mean?
61444	61784	Nothing.
62384	67067	It's just that all men are sure it never happened to them, and most women at one time or another have done it, so you do the math.
68607	69908	You don't think that I could tell a difference?
71308	71468	No.
72109	72689	Get out of here.
80452	80632	Oh.
83374	83554	Oh.
88623	91984	Are you okay?
92004	92245	Oh.
94506	97347	Oh, God.
97947	98667	Oh, God.
100188	100428	Oh.
102409	102609	Oh.
104750	104950	Oh.
106771	108231	Oh, God.
109172	110052	Oh, you're right there.
111073	111733	Oh.
112373	112493	Oh.
113554	113694	Oh.
114994	115114	Oh.
117617	118297	Oh, God.
119118	119218	Oh.
119878	120338	Yes.
120838	121318	Yes.
121959	122399	Yes.
123039	123499	Yes.
124039	124500	Yes.
124900	125360	Yes.
128341	128461	Yes.
128581	128941	Yes.
129621	130102	Yes.
130642	131922	Yes.
132663	133083	Yes.
133783	134183	Yes.
134703	135144	Yes.
135784	136244	Yes.
136684	137064	Yes.
137444	137844	Yes.
138605	138765	Oh.
139665	141086	Oh.
142166	143066	Oh, God.
144347	144527	Oh.
154079	155191	I'll have what she's having.
