video_id,query_id,query_type,final_query,source_caption_id,segment_ids,human_decision,revised_query,human_notes
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q01,explicit_event,"When does a young boy in a striped sweater embrace a woman in a bathrobe while holding a knife, causing her to flinch?",emostim_01_TheShining_clip_2_c001,s013 s014 s015 s016,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q02,emotion_state,At what point does the woman in the blue robe appear frightened while holding a child?,emostim_01_TheShining_clip_2_c002,s017,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q03,explicit_event,When does the man in the maroon jacket run down a hallway and swing an axe at a door?,emostim_01_TheShining_clip_2_c003,s018,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q04,evidence_cue,What moment shows the man with the beard speaking with a warm tone and a wide smile?,emostim_01_TheShining_clip_2_c009,s027 s028 s029 s030 s031 s032,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q05,emotion_state,When does the young boy in the patterned sweater look sad while standing in the snow?,emostim_01_TheShining_clip_2_c013,s040,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q06,evidence_cue,Which moment shows the woman in the blue robe screaming and holding a knife in the bathroom?,emostim_01_TheShining_clip_2_c015,s042,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q07,explicit_event,When does the man in the maroon jacket and plaid shirt shout and make angry faces while pounding on a door with an axe?,emostim_01_TheShining_clip_2_c018,s045 s046 s047,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q08,emotion_state,How does the woman in the blue robe appear to be in distress and terror while screaming?,emostim_01_TheShining_clip_2_c020,s049 s050 s051 s052 s053 s054,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,"When does the man in the brown suit, white shirt, and red tie on the bicycle appear to be smiling or laughing?",emostim_03_MrBeansHoliday_clip_4_c001,s001 s002 s003 s004 s005 s006 s007 s008,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,What moments show the man in the brown suit laughing while on the bicycle?,emostim_03_MrBeansHoliday_clip_4_c001,s001 s002 s003 s004 s005 s006 s007 s008,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,emotion_state,"At what point does the man in the brown suit, white shirt, and red tie seem to be struggling while cycling uphill?",emostim_03_MrBeansHoliday_clip_4_c002,s017 s018 s019,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,evidence_cue,"Which moments show the man in the brown suit, white shirt, and red tie pedaling his bicycle uphill with visible effort?",emostim_03_MrBeansHoliday_clip_4_c002,s017 s018 s019,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,evidence_cue,When does the partially visible person in dark clothing look around cautiously with wide eyes and a tense body?,emostim_04_28DaysLater_clip_6_c001,s001,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,emotion_state,"At what point does the person in dark clothing appear surprised, with wide eyes, a slightly open mouth, and a staring expression?",emostim_04_28DaysLater_clip_6_c003,s004,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q03,emotion_state,"When does the person sitting on the floor appear distressed with a pale face and hunched posture, looking nervously around and upwards?",emostim_04_28DaysLater_clip_6_c004,s005 s006,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q04,evidence_cue,What moment shows a person in camouflage military clothing with a masked face looking into a mirror cabinet with wide eyes and a tense posture?,emostim_04_28DaysLater_clip_6_c005,s009,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q05,explicit_event,"How does the video show a person in dark clothing moving cautiously through a dark room with a flashlight, looking around nervously?",emostim_04_28DaysLater_clip_6_c006,s010,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q06,emotion_state,What moment shows a young woman with wet hair in a dark environment appearing to be in distress or pain with wide eyes and tense muscles?,emostim_04_28DaysLater_clip_6_c007,s011,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q01,evidence_cue,When does the woman with dark hair wearing a green cardigan appear cautious while looking around?,emostim_07_TheSilenceOfTheLambs_a_clip_2_c001,s001,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q02,explicit_event,When does the woman with dark hair holding a gun point it forward with an angry expression?,emostim_07_TheSilenceOfTheLambs_a_clip_2_c002,s002 s003,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q03,emotion_state,How does the woman in the green cardigan appear when pointing the gun forward?,emostim_07_TheSilenceOfTheLambs_a_clip_2_c002,s002 s003,,,
meld_01_dia337,meld_01_dia337_q001,emotion_state,At what point does the man in the pink plaid shirt appear frustrated?,meld_01_dia337_c001,s009 s010 s011 s012 s013 s014,,,
meld_02_dia224,meld_02_dia224_q01,evidence_cue,When does the man in the red shirt appear to make a disgusted face?,meld_02_dia224_c001,s001,,,
meld_02_dia224,meld_02_dia224_q02,explicit_event,What moments show the man in the blue polo shirt laughing while shaking hands with another person?,meld_02_dia224_c002,s002 s003 s004 s005,,,
meld_02_dia224,meld_02_dia224_q03,emotion_state,At what point does the man in the blue polo shirt appear happy?,meld_02_dia224_c002,s002 s003 s004 s005,,,
meld_03_dia572,meld_03_dia572_q01,emotion_state,When does the woman in the hospital gown appear distressed while speaking with a strained and hesitant voice?,meld_03_dia572_c001,s001,,,
meld_03_dia572,meld_03_dia572_q02,emotion_state,"At what point does the woman in the hospital gown seem frustrated, speaking with a higher pitched and strained voice?",meld_03_dia572_c002,s002,,,
meld_03_dia572,meld_03_dia572_q03,emotion_state,"What moment shows the woman in the hospital gown appearing sad with a tight expression and strained, breathy voice?",meld_03_dia572_c003,s003,,,
meld_03_dia572,meld_03_dia572_q04,explicit_event,"When does the man in the casual shirt gesture while speaking to the woman, and then rummage through a bag looking away from her?",meld_03_dia572_c004,s005 s006,,,
meld_03_dia572,meld_03_dia572_q05,evidence_cue,Which moments show the woman's strained expression and disgusted expression while the man is speaking and gesturing?,meld_03_dia572_c004,s005 s006,,,
meld_03_dia572,meld_03_dia572_q06,explicit_event,"When does the woman in the hospital bed speak with her face contorted in pain or anger, and a loud, strained voice?",meld_03_dia572_c005,s007,,,
meld_03_dia572,meld_03_dia572_q07,evidence_cue,What part of the video shows the woman in the hospital gown grimacing and holding her stomach with a sharp exhale?,meld_03_dia572_c006,s010 s011,,,
meld_04_dia362,meld_04_dia362_q01,emotion_state,When does the woman lying in the hospital bed appear to be in extreme distress?,meld_04_dia362_c001,s001 s002 s003 s004,,,
meld_04_dia362,meld_04_dia362_q02,evidence_cue,Which moment shows the man placing his hand on the woman's arm to comfort her?,meld_04_dia362_c001,s001 s002 s003 s004,,,
meld_04_dia362,meld_04_dia362_q03,explicit_event,What moment shows the nurse putting on gloves and addressing the woman in bed?,meld_04_dia362_c003,s008,,,
meld_04_dia362,meld_04_dia362_q04,evidence_cue,What moment shows the woman speaking urgently to the nurse?,meld_04_dia362_c003,s008,,,
meld_04_dia362,meld_04_dia362_q05,emotion_state,At what point does the woman in the hospital gown appear fearful?,meld_04_dia362_c004,s009,,,
meld_04_dia362,meld_04_dia362_q06,evidence_cue,Which part of the video shows the woman in the hospital bed straining with a tense facial expression?,meld_04_dia362_c005,s009 s010 s011,,,
meld_04_dia362,meld_04_dia362_q07,explicit_event,What moment shows the woman in the hospital bed pushing down as if to give birth?,meld_04_dia362_c006,s011,,,
meld_05_dia980,meld_05_dia980_q01,emotion_state,At what point does the man in the grey sweater sitting on a stool appear frustrated?,meld_05_dia980_c001,s003 s004,,,
meld_05_dia980,meld_05_dia980_q02,evidence_cue,Which moment shows the man in the grey sweater sitting on a stool gesturing with his hands while talking?,meld_05_dia980_c001,s003 s004,,,
meld_05_dia980,meld_05_dia980_q03,emotion_state,What do the facial expressions and gestures of the man in the black shirt look like when he appears to be reacting with disbelief to what the other man is saying?,meld_05_dia980_c002,s006 s007 s008,,,
meld_05_dia980,meld_05_dia980_q04,evidence_cue,What moment shows the man in the black shirt with wide eyes and an open mouth?,meld_05_dia980_c002,s006 s007 s008,,,
meld_05_dia980,meld_05_dia980_q05,explicit_event,When does the man in the black shirt react with exasperation while holding a piece of paper?,meld_05_dia980_c002,s006 s007 s008,,,
meld_06_dia823,meld_06_dia823_q001,explicit_event,When does the woman with blonde hair in a patterned short-sleeved shirt and black pants enter the apartment laughing?,meld_06_dia823_c001,s001,,,
meld_06_dia823,meld_06_dia823_q002,emotion_state,When does the woman with blonde hair in a patterned short-sleeved shirt and black pants laugh?,meld_06_dia823_c001,s001,,,
meld_06_dia823,meld_06_dia823_q003,emotion_state,When does the woman with blonde hair in a patterned short-sleeved shirt seem amused or surprised?,meld_06_dia823_c002,s003 s004,,,
meld_06_dia823,meld_06_dia823_q004,evidence_cue,Which moment shows the woman with blonde hair in a patterned short-sleeved shirt talking with her hands?,meld_06_dia823_c002,s003 s004,,,
moviechat_01_162,moviechat_01_162_q01,emotion_state,When does the man in the suit and white shirt appear surprised while looking off-camera and speaking?,moviechat_01_162_c001,s002 s003,,,
moviechat_01_162,moviechat_01_162_q02,evidence_cue,"What moment shows the man in the suit and white shirt, holding a gun, looking with alarm?",moviechat_01_162_c002,s003 s004,,,
moviechat_01_162,moviechat_01_162_q03,emotion_state,When does the man in the suit and tie appear sad with downcast eyes and a somber expression?,moviechat_01_162_c007,s008 s009 s010 s011 s012,,,
moviechat_01_162,moviechat_01_162_q04,emotion_state,"At what point does the man in the driver's seat, wearing a black jacket, seem frustrated with his hand on his forehead?",moviechat_01_162_c009,s017 s018,,,
moviechat_01_162,moviechat_01_162_q06,explicit_event,What moment shows the man in the driver's seat speaking and gesturing with an agitated tone?,moviechat_01_162_c011,s026 s027 s028,,,
moviechat_01_162,moviechat_01_162_q07,emotion_state,When does the man in the black leather jacket appear angry while leaning in and speaking with an intense gaze?,moviechat_01_162_c014,s037 s038,,,
moviechat_01_162,moviechat_01_162_q08,explicit_event,What part of the video shows the man in the white shirt speaking assertively and pointing towards the television screen?,moviechat_01_162_c022,s068 s069,,,
moviechat_03_160,moviechat_03_160_q001,emotion_state,At what point does the man in the light colored shirt in the foreground appear frustrated while rubbing his temples?,moviechat_03_160_c001,s004,,,
moviechat_03_160,moviechat_03_160_q002,emotion_state,When does the man in the suit and tie look angry with a stern expression while looking forward?,moviechat_03_160_c002,s010,,,
moviechat_03_160,moviechat_03_160_q003,emotion_state,At what point does the man in the light blue collared shirt appear fearful while looking intently at a laptop screen?,moviechat_03_160_c003,s019 s020 s021,,,
moviechat_03_160,moviechat_03_160_q004,explicit_event,When does the man with short dark hair in the patterned blue shirt playfully push the arm of the man next to him?,moviechat_03_160_c006,s025 s026 s027 s028 s029 s030,,,
moviechat_03_160,moviechat_03_160_q005,emotion_state,What moment shows the man in the black suit and tie with an earpiece looking intently to the side?,moviechat_03_160_c008,s038 s039,,,
moviechat_03_160,moviechat_03_160_q006,explicit_event,Where in the video does the man in the suit and tie with an earpiece speak into a walkie-talkie with a stern expression and a frustrated emotion?,moviechat_03_160_c012,s070,,,
