video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q02,evidence_cue,When does the blonde woman with large curls look down with a distressed and weary expression?,85-90s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,evidence_cue,"When does the blonde woman scream with her mouth wide open, displaying intense excitement?",120-125s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q05,evidence_cue,When does the woman with voluminous hair smile slightly and show pleasant surprise while eating?,145-150s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,explicit_event,"When does the man frantically push a suitcase off a moving vehicle, looking back with panic and urgency, demonstrating fear?",20-25s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,evidence_cue,"When does the man ride a bicycle at high speed with a wide-eyed, excited expression and mouth open, showing excitement?",25-30s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q06,emotion_state,When does the man in the suit appear happy while superimposed as a giant walking alongside cyclists?,40-45s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q08,explicit_event,"When does the man run frantically down a rural road, looking back in panic as a dog barks and chases him, indicating fear?",70-75s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q11,evidence_cue,"When does Mr. Bean look directly and intensely into the camera with wide, surprised eyes, showing surprise?",110-115s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,evidence_cue,"When does the young boy's face appear contorted in anguish while he is crying and shouting desperately for help, indicating sadness?",5-10s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,emotion_state,At what point does the young boy appear sad while crying and whimpering?,10-15s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,evidence_cue,"When does the young boy's crying and sobbing indicate sadness, with tears welling up in his eyes?",15-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,explicit_event,"When does the young boy bang a small object against his head in a frantic, repetitive motion, expressing distress and fear?",20-25s,,,
