video_id,query_id,query_type,final_query,source_caption_id,segment_ids,human_decision,revised_query,human_notes
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q01,emotion_state,At what point does the woman in the bathrobe appear startled and scared while the boy holds a knife?,emostim_01_TheShining_clip_2_b02_c05,s013,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q02,explicit_event,When does the boy reach for the woman while holding a knife and she recoils?,emostim_01_TheShining_clip_2_b02_c06,s014,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q03,explicit_event,What moment shows the woman in the blue robe holding the child protectively and screaming?,emostim_01_TheShining_clip_2_b03_c01,s017,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q04,explicit_event,When does the man in the maroon robe run down a hallway and swing an axe at a door?,emostim_01_TheShining_clip_2_b03_c02,s018,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q05,explicit_event,At what point does the man wearing a maroon jacket smile while peering through a hole in the door?,emostim_01_TheShining_clip_2_b04_c02,s027 s028 s029 s030 s031 s032,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q06,evidence_cue,Which moment shows the woman in the blue robe with dark hair in a bathroom screaming and holding a knife?,emostim_01_TheShining_clip_2_b06_c02,s042,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q07,explicit_event,What part of the video shows the man in the maroon jacket pounding on a door with an axe?,emostim_01_TheShining_clip_2_b06_c03,s043,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q08,emotion_state,When does the woman in the blue robe appear distressed with tears in her eyes while screaming?,emostim_01_TheShining_clip_2_b07_c03,s051,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,explicit_event,When does the man in the brown suit appear to be laughing while looking at the camera?,emostim_03_MrBeansHoliday_clip_4_b01_c02,s002 s003,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,explicit_event,When does the man on the bicycle appear to be laughing while looking at the camera?,emostim_03_MrBeansHoliday_clip_4_b01_c05,s006 s007,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,emotion_state,"When does the man in the brown suit, white shirt, and red tie appear to be grimacing while pedaling uphill?",emostim_03_MrBeansHoliday_clip_4_b03_c01,s017,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,evidence_cue,Which part of the video shows the man in the brown suit leaning forward with a grimace while pedaling uphill?,emostim_03_MrBeansHoliday_clip_4_b03_c02,s018,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q05,explicit_event,What moment shows the man in the brown suit aggressively dismounting and letting his bicycle fall?,emostim_03_MrBeansHoliday_clip_4_b03_c06,s022,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,evidence_cue,"When does the person in dark clothing, partially visible, look around frequently with wide eyes and a tense body?",emostim_04_28DaysLater_clip_6_b01_c01,s001,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,emotion_state,At what point does the person in dark clothing appear surprised with wide eyes and a slightly open mouth?,emostim_04_28DaysLater_clip_6_b01_c04,s004,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q03,evidence_cue,"Where in the video does the person in a dress, sitting on the floor, show darting eyes and a hunched posture while looking towards a dark corner?",emostim_04_28DaysLater_clip_6_b01_c05,s005,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q04,emotion_state,"What moment shows the person in a dress, sitting on the floor, looking up with wide eyes and a pale face, appearing distressed?",emostim_04_28DaysLater_clip_6_b01_c06,s006,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q05,emotion_state,"When does the person in camouflage military clothing, with a masked face, appear fearful with wide eyes and a tense posture while looking in a mirror?",emostim_04_28DaysLater_clip_6_b02_c01,s009,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q06,evidence_cue,"What part of the video shows the person in dark clothing moving cautiously through a dark room with a flashlight, looking around nervously?",emostim_04_28DaysLater_clip_6_b02_c02,s010,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q07,emotion_state,How does the video show the young woman with wet hair in a dark environment looking up with wide eyes and a distressed facial expression while her arm is raised?,emostim_04_28DaysLater_clip_6_b02_c03,s011,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q01,evidence_cue,Which part of the video shows the woman in the green cardigan looking around with wide eyes?,emostim_07_TheSilenceOfTheLambs_a_clip_2_b01_c01,s001,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q02,explicit_event,When does the woman in the green cardigan point a gun forward with a determined and angry expression?,emostim_07_TheSilenceOfTheLambs_a_clip_2_b01_c02,s002,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q03,emotion_state,At what point does the woman holding a gun appear angry with an intense facial expression and mouth slightly open in a snarl?,emostim_07_TheSilenceOfTheLambs_a_clip_2_b01_c03,s003,,,
