video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,evidence_cue,"When does the woman with voluminous, curly blonde hair speak with a direct and slightly exasperated tone, showing frustration?",5-10s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q02,evidence_cue,"At what point does the woman's voice become more insistent and agitated, indicating frustration?",10-15s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,evidence_cue,"When does the woman with voluminous, styled blonde hair speak with a sharp, accusatory, and indignant tone, showing anger?",15-20s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,emotion_state,"When does the woman with voluminous, wavy blonde hair appear surprised?",20-25s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q06,emotion_state,"When does the woman with voluminous, curly blonde hair look somber and contemplative, appearing sad?",85-90s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,evidence_cue,"When does the woman with voluminous, styled blonde hair sigh with exhaustion and frustration?",90-95s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q08,evidence_cue,"When does the woman with voluminous, wavy blonde hair speak with a weary and exasperated tone, showing frustration?",95-100s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q09,evidence_cue,"When does the woman with voluminous, curly blonde hair make long, drawn-out, pained groans, indicating sadness?",100-105s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q10,evidence_cue,"When does the woman with voluminous, curly blonde hair speak in a soft, weary voice with exhaustion and resignation, showing disappointment?",105-110s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q11,evidence_cue,"When does the woman with voluminous, curly blonde hair gasp and moan with shock and distress, showing surprise?",110-115s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q12,evidence_cue,"When does the blonde woman shout ""Yes!"" repeatedly with frantic energy and urgency, showing happiness?",120-125s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q14,evidence_cue,"When does the man on the left with curly dark hair and glasses shout with overwhelming enthusiasm and glee, showing happiness?",130-135s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q15,evidence_cue,"When does the woman with voluminous, curly blonde hair scream ""Yes!"" with raw, unrestrained emotion and then moan, showing happiness?",135-140s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q16,evidence_cue,"When does the woman with voluminous, curly blonde hair speak with a high-pitched, exasperated tone and sigh, showing disappointment?",140-145s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,emotion_state,"At what point does the man appear excited, looking into the camera with wide eyes and an open mouth?",25-30s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q11,emotion_state,"At what point does the man appear excited, looking intensely into the camera with wide eyes as upbeat electronic pop music plays?",110-115s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,evidence_cue,"When does the young boy cry with heart-wrenching sounds and uncontrollable sobs, showing deep distress and sadness?",5-10s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,emotion_state,"At what point does the young boy appear sad and vulnerable, with high-pitched whimpers and soft sobs?",10-15s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,evidence_cue,"When does the young boy cry with high-pitched sobs and whimpers, looking sad and fearful, and saying 'Dad' in a pleading tone?",15-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,evidence_cue,"At what point does the young boy cry and say 'It's yellow' in a tearful, panicked tone, gesturing erratically to show distress?",20-25s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,evidence_cue,"When does the young boy cry with sniffles and a tearful voice asking, 'Oh, why are you letting me up?', conveying deep upset?",25-30s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q06,evidence_cue,"At what point does the young boy cry softly and whimperingly, saying 'Oh, I can't,' with choked sobs that convey overwhelming sadness?",30-35s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q07,evidence_cue,"When does the young boy plead with a high-pitched, strained voice, 'Wake up! Wake up!', showing panic and desperation?",35-40s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q08,evidence_cue,"At what point does the young boy cry with anguish and a shaky voice, saying 'It's all over. Oh, oh, oh. Don't go.'?",40-45s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q09,evidence_cue,"When does the young boy plead 'Wake up!' with desperate urgency and sorrow, followed by whimpering sounds showing panic and concern?",45-50s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q10,evidence_cue,"At what point does a child's voice plead desperately and with fear, 'Wake up, Jeff. Wake up, Jeff. Don't sleep,' sounding shaky and panicked?",50-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q13,evidence_cue,"When does a child hug someone tightly and say, 'Don't cry. I'm sorry,' with a delivery filled with sadness and a sense of guilt?",65-70s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q14,evidence_cue,"At what point does a child's voice urgently and insistently exclaim, 'This is how it is. Wake him up! Wake him!', showing alarm?",70-75s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q15,evidence_cue,"When does a child desperately plead, 'Please wake him up,' then firmly and defiantly shout 'No!' when told to 'go back,' showing fear?",75-80s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q16,evidence_cue,"At what point does a young boy cry and struggle, repeatedly crying out 'No! I don't want to! I don't want to!' in raw terror?",80-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q17,evidence_cue,"When does a young boy cry out desperately with panic and despair, 'Jackie! Wake up, Mom! Wake up!', punctuated by choked sobs?",85-90s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q18,evidence_cue,"At what point does a boy cry out, 'I want you out!', then repeat it with a shaky, emotional voice, showing distress?",90-95s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q19,evidence_cue,"When does a boy cry softly, conveying deep sadness, while a man gently says, 'He's gone. He's gone, son,' in a comforting voice?",95-100s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q20,evidence_cue,"At what point does a young boy cry with deep sadness and distress, while a man gently reassures him with 'It's okay.'?",100-105s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q21,evidence_cue,"When does a young boy whisper a desperate 'No.' with a trembling, high-pitched voice, conveying fear and distress?",105-110s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q22,evidence_cue,"At what point does a young boy speak with a trembling, fearful voice, his speech broken and hesitant, saying 'He's not... He's not...', showing deep anxiety and sadness?",110-115s,,,
meld_01_dia337,meld_01_dia337_q01,emotion_state,When does the man in the blue and white plaid shirt appear disappointed?,5-10s,,,
meld_03_dia572,meld_03_dia572_q01,evidence_cue,"When does the woman in the hospital bed speak in a low, weary, and slightly pained voice, showing frustration?",5-10s,,,
meld_03_dia572,meld_03_dia572_q02,evidence_cue,"When does the woman in the hospital bed groan in discomfort with a strained voice, showing frustration?",10-15s,,,
meld_03_dia572,meld_03_dia572_q03,evidence_cue,"When does the woman in the hospital bed exclaim sharply with anger, her voice full of it?",15-20s,,,
meld_03_dia572,meld_03_dia572_q04,explicit_event,When does the woman in the hospital bed yell angrily and accusatorily at the man?,20-25s,,,
meld_03_dia572,meld_03_dia572_q05,explicit_event,When does the woman in the hospital bed yell with aggressive accusation and anger at the man?,25-30s,,,
meld_03_dia572,meld_03_dia572_q06,evidence_cue,"When does the woman in the hospital bed speak in a calm, direct, and slightly teasing voice, showing surprise?",30-35s,,,
meld_03_dia572,meld_03_dia572_q07,evidence_cue,"When does the woman in the hospital bed speak with a mix of concern and slight annoyance, showing frustration?",35-40s,,,
meld_03_dia572,meld_03_dia572_q08,evidence_cue,"When does the woman in the hospital bed speak in a soft, slightly weak, and questioning voice, showing surprise?",40-45s,,,
meld_03_dia572,meld_03_dia572_q09,evidence_cue,"When does the woman in the hospital bed speak with intense anger and aggression, her voice sharp and commanding, showing anger?",45-50s,,,
meld_03_dia572,meld_03_dia572_q10,explicit_event,"When does the woman in the hospital bed speak with intense anger and contempt in a low, seething voice, showing anger?",50-51.81s,,,
