video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,evidence_cue,"When does the woman with voluminous blonde hair sigh and gasp, showing surprise?",90-95s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,evidence_cue,"When does the woman with voluminous blonde hair speak with heavy breathing and shouting, showing excitement?",125-130s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,emotion_state,In which moment does the woman with curly blonde hair appear excited?,135-140s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,explicit_event,"When does the man in the suit lean out of the moving vehicle and extend his hand while a dog barks aggressively at him, showing surprise?",70-75s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,"When does the man in the suit raise his hands slightly, appearing surprised or cautious, after opening a door?",110-115s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,explicit_event,"When does the man in the suit and red tie open a door and step through, pausing and walking forward with his hands raised, showing surprise?",110-115s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,emotion_state,When does the young child appear sad while crying?,5-10s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,evidence_cue,"When does the young child cry and sob heavily, showing sadness?",10-15s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,evidence_cue,"When does the young boy sniffle while looking at an object, suggesting sadness?",25-30s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q07,evidence_cue,"When does the young boy shout 'Wake up!' with a tear on his cheek, showing sadness?",35-40s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q10,emotion_state,When does the young boy look sad while leaning over a person's head covered in a reddish substance?,50-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q11,emotion_state,When does the older man appear sad as he bows his head and covers his eyes?,55-60s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q12,emotion_state,When does the seated person show sadness by bowing their head and covering their face?,60-65s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q13,evidence_cue,"When does the person with light hair embrace another individual closely, showing support during a sad moment?",65-70s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q14,explicit_event,When does the child excitedly shout 'Wake him up!'?,70-75s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q16,emotion_state,When does the young child appear sad and distressed while clinging to the adult's suit?,80-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q17,evidence_cue,"When does the adult gently touch the child's head and face while the child is hunched, showing comfort during sadness?",85-90s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q18,emotion_state,When does the adult and child share a quiet moment of sadness or empathy with the adult's hand on the child's cheek?,90-95s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q20,emotion_state,"When does the adult and child share a moment of sadness or deep connection, with the adult's hand on the child's cheek?",100-105s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q21,evidence_cue,"When does the adult gently touch the boy's cheek, showing a moment of sadness or empathy?",105-110s,,,
meld_01_dia337,meld_01_dia337_q01,evidence_cue,When does the man in the blue plaid shirt express surprise with his voice and apologize?,50-55s,,,
meld_03_dia572,meld_03_dia572_q02,evidence_cue,"When does the woman's posture remain relatively still while she speaks with a high-pitched, fast-paced voice, shouting and yelling in anger?",45-50s,,,
meld_03_dia572,meld_03_dia572_q03,evidence_cue,"What moment shows the woman's relatively still posture as she speaks with a high pitch and harsh tone, expressing anger?",50-51.81s,,,
