video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q01,evidence_cue,When does the young child with shaggy hair stand and hold a large knife?,0-5s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q02,emotion_state,At what point does the young child in a red and green striped sweater appear curious while looking down at the knife?,5-10s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q03,emotion_state,When does the young boy with shaggy hair examine the knife with a pensive expression?,10-15s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q04,emotion_state,At what point does the young boy with blonde hair appear tense while looking towards the bookshelf with a knife in hand?,15-20s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q05,evidence_cue,"When does the person with short gray hair, wearing a red and green striped sweater, hold a knife and look toward the door?",20-25s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q06,explicit_event,When does the young boy attempt to open the door with a knife?,30-35s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q07,explicit_event,When does the young child write on a door with a knife?,40-45s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q08,emotion_state,At what point does the young boy appear focused while writing 'MURDER' backwards on the door with a knife and a red marker?,55-60s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,emotion_state,When does the woman in the red dress appear fearful while sitting on the floor?,5-10s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,evidence_cue,"What moment shows heavy breathing from a woman with wet hair, leaning against a wall?",15-20s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q03,evidence_cue,When does a person with their back to the camera exhibit heavy breathing in a dimly lit room?,20-25s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q04,explicit_event,When does a man in a dark hooded jacket move through a dark room with his mouth open?,25-30s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q05,emotion_state,"At what point does the man in the green hooded jacket appear angry, shouting with blood on his face?",30-35s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q06,explicit_event,"What moment shows a person with dark, wet hair being held and sprayed with liquid?",35-40s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q07,emotion_state,When does the woman with wet hair appear fearful while pressing her face against a mirror?,40-45s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q08,emotion_state,At what point does the shirtless man appear panicked while running in a dimly lit hallway?,50-54.4s,,,
meld_01_dia337,meld_01_dia337_q01,emotion_state,When does the man in the pink shirt show a surprised expression while opening a suitcase?,0-5s,,,
meld_01_dia337,meld_01_dia337_q02,evidence_cue,When does the man in the blue plaid shirt have a confused expression and frown while holding a small object?,15-20s,,,
meld_01_dia337,meld_01_dia337_q03,emotion_state,At what point does the man in the pink plaid shirt appear surprised with wide eyes and raised eyebrows?,15-20s,,,
meld_01_dia337,meld_01_dia337_q04,emotion_state,"When does the man in the blue plaid shirt seem pleased, smiling and nodding while holding a pen?",20-25s,,,
meld_01_dia337,meld_01_dia337_q05,emotion_state,When does the man in the pink plaid shirt look surprised and incredulous while picking up a bowl?,30-35s,,,
meld_01_dia337,meld_01_dia337_q06,emotion_state,At what point does the man in the blue plaid shirt appear concerned with a slightly furrowed brow and crossed arms?,50-55s,,,
meld_01_dia337,meld_01_dia337_q07,emotion_state,"When does the man in the blue plaid shirt look concerned, speaking with open hands?",55-60s,,,
meld_01_dia337,meld_01_dia337_q08,emotion_state,"How does the video show the man in the blue plaid shirt expressing worry, while the man in the pink plaid shirt appears reassuring?",60-65s,,,
meld_02_dia224,meld_02_dia224_q01,emotion_state,When does the man in the blue polo shirt appear amused and laughing?,0-5s,,,
meld_02_dia224,meld_02_dia224_q02,evidence_cue,When does the man in the red t-shirt have raised eyebrows and an open mouth while leaning forward?,0-5s,,,
meld_02_dia224,meld_02_dia224_q03,emotion_state,At what point does the man in the blue polo shirt sound amused?,5-10s,,,
meld_02_dia224,meld_02_dia224_q05,emotion_state,At what point does the man in the blue polo shirt appear playful while bending forward?,20-25s,,,
meld_02_dia224,meld_02_dia224_q06,emotion_state,When does the man in the red t-shirt look surprised with wide eyes and an open mouth?,25-30s,,,
meld_02_dia224,meld_02_dia224_q07,emotion_state,At what point does the man in the blue shirt appear to be in distress or discomfort while holding his head?,30-35s,,,
meld_02_dia224,meld_02_dia224_q08,emotion_state,When does the woman in the white shirt appear excited while smiling and standing?,35-37.16s,,,
moviechat_05_30,moviechat_05_30_q01,explicit_event,When does a man in a black robe scream and fall to the ground?,20-25s,,,
moviechat_05_30,moviechat_05_30_q02,emotion_state,When does the woman with long red hair appear fearful or surprised while peeking from behind a stone structure?,30-35s,,,
moviechat_05_30,moviechat_05_30_q04,evidence_cue,"When does a bald man with a pale, elongated face stand still and look down with sunken eyes?",55-60s,,,
moviechat_05_30,moviechat_05_30_q05,emotion_state,When do the people appear panicked and shouting while running through a crowded hall?,70-75s,,,
moviechat_05_30,moviechat_05_30_q06,emotion_state,At what point does the man with long brown hair and a green jacket appear alarmed and fearful while raising his hand with wide eyes?,75-80s,,,
moviechat_05_30,moviechat_05_30_q07,emotion_state,"When does the man with long, dark, wavy hair appear fearful while speaking or shouting with an open mouth and wide eyes?",85-90s,,,
moviechat_05_30,moviechat_05_30_q08,emotion_state,When do the man with long dark hair and a dark coat display a sinister emotion while reaching his hand forward and the man in the sweater look shocked?,95-100s,,,
moviechat_05_30,moviechat_05_30_q09,emotion_state,At what point do a group of people look terrified while running urgently down a narrow stone corridor?,120-125s,,,
