video_id,query_id,query_type,query_text,time_range,segment_ids,gen_time_range,gen_segment_ids
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q001,emotion_state,When does the young boy appear frightened while holding a knife and facing a closed door?,"[20.0, 35.0]","s005,s006,s007","[15.0, 25.0]","s004,s005"
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q006,explicit_event,"When does the man angrily swing an axe at the door, making loud crashing sounds?","[85.0, 95.0]","s018,s019","[85.0, 95.0]","s018,s019"
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q007,evidence_cue,"When does the woman, tense with effort, struggle to open a door while holding a knife, showing fear?","[100.0, 105.0]",s021,"[100.0, 105.0]",s021
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,When does the woman appear surprised as the man speaks in a surprised tone?,"[40.0, 45.0]",s009,"[40.0, 45.0]",s009
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q06,evidence_cue,"When does the woman groan repeatedly with her head tilted back and eyes closed, indicating sadness?","[100.0, 105.0]",s021,"[100.0, 105.0]",s021
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,evidence_cue,"When does the woman groan in pain with her head tilted back and eyes closed, showing sadness?","[100.0, 105.0]",s021,"[105.0, 110.0]",s022
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,When does the man in the brown suit and red tie appear happy while making a 'call me' gesture?,"[30.0, 35.0]",s007,"[25.0, 30.0]",s006
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,emotion_state,When does the young woman appear frightened as she looks around?,"[0.0, 5.0]",s001,"[0.0, 5.0]",s001
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,evidence_cue,"When does a man in a dark outfit exhibit panic or urgency through his quick movements and tense demeanor, suggesting fear?","[5.0, 10.0]",s002,"[5.0, 10.0]",s002
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q08,emotion_state,At what point does the shirtless man appear sad or in distress as he stumbles and collapses with a chest wound?,"[45.0, 50.0]",s010,"[45.0, 50.0]",s010
