video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,"When does the woman with blonde, curly hair appear happy as she smiles and looks down at her hands?",55-60s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q02,evidence_cue,"When does the woman with blonde, curly hair gesture with her hands while appearing happy?",55-60s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,emotion_state,"At what point does the woman with blonde, voluminous hair look surprised as her eyes widen and mouth opens?",80-85s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,evidence_cue,"When does the woman with blonde, voluminous hair show surprise by widening her eyes and opening her mouth slightly while looking forward?",80-85s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q05,explicit_event,"When does the woman with blonde hair shout excitedly, tilting her head back and shaking it vigorously?",120-125s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q06,emotion_state,When does the woman with blonde hair appear excited as she laughs and screams with her head thrown back?,125-130s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,explicit_event,When is the woman with blonde hair spun around by a man while laughing and screaming excitedly?,125-130s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q08,explicit_event,"When does the woman with blonde hair in a dark sweater shout excitedly and lean back, running her hand through her hair?",135-140s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q09,emotion_state,When does the woman with blonde hair appear excited as she makes vocalizations of pleasure and runs her hand through her hair?,135-140s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q10,emotion_state,"When does the woman with blonde, curly hair appear happy as she smiles while looking at the man across from her?",145-150s,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q11,evidence_cue,"What moment shows the woman with blonde, curly hair smiling happily while eating with a fork and looking at the man?",145-150s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,emotion_state,At what point does the man in the brown suit and red tie appear happy while riding his bicycle and looking towards the camera?,30-35s,,,
