video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,When does the man in the brown suit and red tie appear happy while making a 'call me' gesture?,30-35s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,"When does the man in the brown suit and red tie smile and make a 'call me' gesture, showing happiness?",30-35s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q07,emotion_state,When does the man in the brown suit and white shirt appear frustrated while looking down and pedaling hard?,50-60s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q08,evidence_cue,"What visible cues show the man in the brown suit and white shirt's frustration, such as a strained expression while cycling?",50-60s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q11,emotion_state,"When does the man in the brown suit and red tie appear surprised with a wide, open-mouthed expression while the camera shakes?",70-75s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q12,evidence_cue,"What visual and audio cues suggest surprise for the man in the brown suit and red tie, like an open mouth and chaotic music?",70-75s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q18,evidence_cue,What visual cues show the man in the dark suit and red tie's happy demeanor with a wide smile and raised hand?,110-115s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,emotion_state,When does the young child appear sad?,5-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,evidence_cue,"When does the young child cry loudly and wail, showing sadness?",15-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q03,emotion_state,When does the young boy seem sad while examining an object?,20-25s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,evidence_cue,"When does the young boy cry with tears and whimpering, showing sadness?",25-30s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,evidence_cue,"When does the young boy's face show distress while crying and holding an object resembling blood, indicating sadness?",35-45s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q06,emotion_state,"When does the young boy appear sad, with a visible wound and blood on his hand?",35-45s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q08,emotion_state,When does the young boy seem sad while leaning over an older man?,50-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q09,emotion_state,"When does the man with light-colored hair appear sad, covering his face?",55-60s,,,
meld_01_dia337,meld_01_dia337_q02,evidence_cue,When does the man in the blue shirt turn his head sharply with a surprised expression and concerned tone?,55-60s,,,
meld_01_dia337,meld_01_dia337_q03,emotion_state,When does the man in the pink shirt show a surprised expression?,65-67.9s,,,
meld_01_dia337,meld_01_dia337_q04,evidence_cue,What moment shows the man in the pink shirt looking up and to his left with a surprised expression?,65-67.9s,,,
meld_03_dia572,meld_03_dia572_q01,emotion_state,When does the woman in the hospital gown appear sad while in pain?,5-10s,,,
meld_03_dia572,meld_03_dia572_q02,evidence_cue,"When does the woman groan in pain, indicating sadness?",10-15s,,,
meld_03_dia572,meld_03_dia572_q03,emotion_state,When does the woman appear frustrated while speaking agitatedly?,25-30s,,,
meld_03_dia572,meld_03_dia572_q04,evidence_cue,"When does the woman's voice sound agitated, showing frustration?",25-30s,,,
meld_03_dia572,meld_03_dia572_q07,evidence_cue,"When does the woman's voice sound high-pitched and strained, indicating anger?",45-51.81s,,,
