video_id,query_id,query_type,final_query,source_caption_id,segment_ids,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q001,emotion_state,"At what point does the woman with blonde curly hair, wearing a dark sweater over a white shirt, appear happy while listening?",emostim_02_WhenHarryMetSally_clip_1_c001,s015 s016,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q002,emotion_state,"When does the woman with blonde curly hair, wearing a white blouse and dark cardigan, seem frustrated?",emostim_02_WhenHarryMetSally_clip_1_c002,s017 s018 s019 s020 s021 s022 s023 s024,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q003,explicit_event,What moment shows the woman with blonde curly hair in a white shirt and dark sweater tilting her head back and closing her eyes?,emostim_02_WhenHarryMetSally_clip_1_c003,s025 s026,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q004,emotion_state,How does the man with brown hair and beard in a patterned sweater look when he sees the woman tilting her head back?,emostim_02_WhenHarryMetSally_clip_1_c004,s026,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q005,evidence_cue,Which part of the video shows the woman in the white shirt and dark sweater leaning back with her eyes closed and grimacing?,emostim_02_WhenHarryMetSally_clip_1_c005,s027,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q006,explicit_event,"What moment features the woman in the white shirt and dark sweater shaking her head rapidly with her eyes closed and wide open, and her mouth open?",emostim_02_WhenHarryMetSally_clip_1_c006,s028,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q008,explicit_event,"What moment shows the woman in the white shirt and dark sweater leaning her head back with her eyes closed, simulating pleasure?",emostim_02_WhenHarryMetSally_clip_1_c008,s031,,,
moviechat_05_30,moviechat_05_30_q001,explicit_event,When does the bald man with wide eyes shout and gesture wildly?,moviechat_05_30_c003,s007,,,
moviechat_05_30,moviechat_05_30_q002,emotion_state,At what point does the woman with long dark hair appear worried or frightened while looking upwards?,moviechat_05_30_c004,s008,,,
moviechat_05_30,moviechat_05_30_q003,evidence_cue,At what moment does the man with dark hair in a dark jacket appear to be grimacing with a clenched fist?,moviechat_05_30_c006,s017 s018 s019,,,
moviechat_05_30,moviechat_05_30_q004,explicit_event,What part of the video shows a group of people in dark clothing running through a dark hallway and being hit by debris?,moviechat_05_30_c010,s025 s026,,,
moviechat_05_30,moviechat_05_30_q005,explicit_event,"When does the large, monstrous creature crawl on the ground with a snarling face?",moviechat_05_30_c015,s034,,,
moviechat_05_30,moviechat_05_30_q006,emotion_state,What moment shows a crowd of young people in school uniforms running down a grand staircase while looking back?,moviechat_05_30_c021,s044 s045 s046,,,
moviechat_05_30,moviechat_05_30_q007,evidence_cue,"At what moment does the young man with glasses appear uneasy, looking down with a tightened jaw?",moviechat_05_30_c033,s065 s066 s067,,,
moviechat_05_30,moviechat_05_30_q008,explicit_event,"When does the woman with brown hair, wearing a denim jacket over a burgundy hoodie, cast a spell with an intense facial expression?",moviechat_05_30_c046,s095,,,
moviechat_06_33,moviechat_06_33_q01,emotion_state,"When does the young man with glasses, messy hair, and dirt on his face, wearing a dark jacket over a grey shirt, appear distressed?",moviechat_06_33_c001,s001,,,
moviechat_06_33,moviechat_06_33_q02,explicit_event,"What moment shows the young man with glasses, messy hair, and dirt on his face, wearing a dark jacket over a grey shirt, holding his wand and looking down?",moviechat_06_33_c003,s003,,,
moviechat_06_33,moviechat_06_33_q03,explicit_event,"When does the bald man with a pale, snake-like face and dark robes scream as his head/face seems to disintegrate?",moviechat_06_33_c006,s004 s005,,,
moviechat_06_33,moviechat_06_33_q04,explicit_event,"What moment shows a very large man with a beard, wearing a brown coat, hugging a young man with glasses?",moviechat_06_33_c010,s021 s022 s023 s024,,,
moviechat_06_33,moviechat_06_33_q05,evidence_cue,"What moment shows the young man with glasses, wearing a dark jacket over a grey shirt, looking up and raising his wand?",moviechat_06_33_c014,s043 s044,,,
moviechat_06_33,moviechat_06_33_q06,emotion_state,At what point does a young girl in a red cardigan and blonde hair smile?,moviechat_06_33_c018,s061 s062 s063 s064,,,
moviechat_06_33,moviechat_06_33_q07,emotion_state,"How does the young man with glasses, dark hair, wearing a dark jacket and blue shirt appear when speaking to a young boy?",moviechat_06_33_c021,s082 s083 s084 s085 s086 s087 s088,,,
