video_id,query_id,query_type,query_text,time_range,segment_ids,grounding_visual,grounding_audio,selected_captions
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q001,emotion_state,When does the young boy appear frightened while holding a knife and facing a closed door?,"[15.0, 25.0]","s004,s005",A young boy stands in a dimly lit room; He holds a large knife in his right hand and a small red object in his left; He is facing a closed door,"A high-pitched, sustained electronic tone, similar to a dial tone or a test signal, is audible throughout the clip.","[s004] Visual: A young boy with shaggy blonde hair, wearing a red and green striped sweater, stands in a dimly lit room. He holds a large knife in his right hand and a small red object in his left, looking towards a bookshelf. The room contains a bookshelf, a television, and a lamp, with a closed door visible in the background. | Audio: A low, sustained, and ominous musical tone plays in the background, creating a suspenseful atmosphere.
[s005] Visual: A young boy with short, light-colored hair stands in a dimly lit room, seen from behind. He is wearing a red and green striped sweater and is holding a long, thin object, possibly a knife, in his right hand. He is facing a closed door, with a lit lamp on a side table to his left and a bookshelf to his right. | Audio: A high-pitched, sustained electronic tone, similar to a dial tone or a test signal, is audible throughout the clip."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,When does the woman appear surprised as the man speaks in a surprised tone?,"[40.0, 45.0]",s009,The woman ... is looking at the man and speaking.; The man ... speaking in a surprised tone.,"The woman speaks in a conversational tone, followed by the man speaking in a surprised tone.","[s009] Visual: A man and a woman are sitting at a table in a crowded restaurant. The man, wearing a plaid shirt, is eating a sandwich and looking at the woman. The woman, with blonde hair and wearing a dark sweater over a white collared shirt, is looking at the man and speaking. | Audio: The woman speaks in a conversational tone, followed by the man speaking in a surprised tone. The background is filled with the indistinct murmur of other people talking."
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,When does the man in the brown suit and red tie appear happy while making a 'call me' gesture?,"[25.0, 30.0]",s006,He is smiling and looking directly at the camera.; makes a 'call me' gesture with his hand.,A rock song with a male vocalist singing in a high-pitched voice. The music is loud and energetic.,[s006] Visual: A man in a brown suit and red tie is riding a bicycle on a dirt road. He is smiling and looking directly at the camera. The background consists of a rural landscape with fields and a blue sky with some clouds. | Audio: A rock song with a male vocalist singing in a high-pitched voice. The music is loud and energetic.
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,emotion_state,When does the young woman appear frightened as she looks around?,"[0.0, 5.0]",s001,"young woman with long, dark hair, seen in profile and then from the front, her face partially obscured by shadow; appears to be in a dimly lit room, looking around with a tense expression","A male voice shouts in distress; a loud, jarring electronic sound effect","[s001] Visual: The video opens with a shaky, dark shot of a person's hands and arms moving erratically. The camera then focuses on a young woman with long, dark hair, seen in profile and then from the front, her face partially obscured by shadow. She appears to be in a dimly lit room, looking around with a tense expression. | Audio: A male voice shouts in distress, followed by a loud, jarring electronic sound effect."
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q01,emotion_state,"When does the woman with brown hair appear fearful, looking down with a pained expression?","[35.0, 45.0]","s008,s009","woman... looking up with a concerned expression; woman... looking down with a pained expression; She appears to be in distress, with her brow furrowed and eyes downcast.","A low, sustained, and ominous musical tone plays in the background, creating a suspenseful atmosphere.","[s008] Visual: A man in a dark suit, white shirt, and striped tie, wearing round glasses, looks forward with a serious expression. The camera then cuts to a woman with brown hair, seen from a low angle, looking up with a concerned expression. She appears to be in a dimly lit room with a plain wall behind her. | Audio: The audio is unclear, with no discernible speech or prominent background sounds.
[s009] Visual: A woman with brown hair is shown in a close-up, looking down with a pained expression. Her face is partially obscured by a blurry object in the foreground. She appears to be in distress, with her brow furrowed and eyes downcast. | Audio: A low, sustained, and ominous musical tone plays in the background, creating a suspenseful atmosphere."
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,evidence_cue,When does the young child cry and sob with a distressed expression?,"[5.0, 15.0]","s002,s003","child is looking forward with a distressed expression, their mouth slightly open; child is visibly distressed, with their face contorted in crying","child is audibly crying and sobbing, with heavy, distressed breathing; child is audibly crying and whimpering, with sounds of distress and sobbing","[s002] Visual: A young child with blonde hair is being held by an adult whose hands are visible on the child's shoulders. The child is looking forward with a distressed expression, their mouth slightly open. The scene is dark, with only the subjects illuminated. | Audio: The child is audibly crying and sobbing, with heavy, distressed breathing.
[s003] Visual: A young child with blonde hair is being held by an adult in a dark environment. The child is visibly distressed, with their face contorted in crying and their hands gripping the adult's arms. The adult's hands are wrapped around the child's upper arms, providing support. | Audio: The child is audibly crying and whimpering, with sounds of distress and sobbing."
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q01,emotion_state,When does the woman with dark hair appear frightened?,"[5.0, 12.76]","s002,s003","looking off to the side with a tense expression; mouth slightly open; head turns quickly to the right; red light flashing in the background; holds a handgun with both hands, aiming it forward; focused and tense expression","sudden, sharp metallic clang or impact sound; loud, sustained, low-frequency electronic tone, similar to a siren or alarm","[s002] Visual: A woman with dark hair, wearing a green cardigan with star patterns over a light-colored shirt, is seen in a dimly lit room with a brick wall. She is looking off to the side with a tense expression, her mouth slightly open as if in surprise or fear. Her head turns quickly to the right, and the scene ends with a red light flashing in the background. | Audio: The audio contains a low, continuous hum, possibly from machinery or an electrical source, and a sudden, sharp metallic clang or impact sound.
[s003] Visual: A woman with dark hair, wearing a dark green button-up shirt, is shown in a dimly lit, narrow corridor. She holds a handgun with both hands, aiming it forward with a focused and tense expression. The walls are made of old, peeling tiles, and the lighting casts long shadows across the scene. | Audio: The audio is dominated by a loud, sustained, low-frequency electronic tone, similar to a siren or alarm, which is continuous throughout the clip."
meld_01_dia337,meld_01_dia337_q01,emotion_state,When does the man in the blue shirt appear surprised?,"[55.0, 60.0]",s012,look of surprise and concern on his face,A male voice speaks with a tone of surprise and concern,"[s012] Visual: The scene takes place indoors, likely in a living room or hallway. Two men are having a conversation. The man on the left, wearing a pink and white plaid shirt, is facing the man on the right, who is wearing a blue and black plaid shirt over a white t-shirt. The man in the blue shirt turns his head sharply to his right, then back to the other man, with a look of surprise and concern on his face. | Audio: A male voice speaks with a tone of surprise and concern, followed by another male voice speaking with a calm, reassuring tone. The first voice then speaks again, sounding more urgent and anxious."
meld_02_dia224,meld_02_dia224_q01,emotion_state,When does the man in the blue shirt appear happy?,"[0.0, 5.0]",s001,"The man in the blue shirt is laughing heartily, leaning forward with his hands gesturing.","loud, sustained laughter from the other man.","[s001] Visual: A man in a red shirt sits on an orange couch, looking at another man in a blue shirt. The man in the blue shirt is laughing heartily, leaning forward with his hands gesturing. The background shows a bar setting with other people and tables. | Audio: A man asks a question, followed by loud, sustained laughter from the other man."
meld_03_dia572,meld_03_dia572_q01,emotion_state,When does the woman appear sad while looking down at her stomach with a pained expression?,"[5.0, 10.0]",s002,woman looking down at her stomach with a pained expression,,"[s002] Visual: A woman in a white hospital gown sits up in a hospital bed, looking down at her stomach with a pained expression. A man in a light-colored jacket sits beside her, looking at her with a concerned expression. The hospital room is equipped with medical monitors and an IV stand. | Audio: A woman is speaking, followed by a loud, sustained electronic tone."
meld_04_dia362,meld_04_dia362_q01,emotion_state,When does the woman in the hospital bed appear sad while crying?,"[0.0, 10.0]","s001,s002","woman looking distressed; woman visibly distressed and crying; woman raises her hand to her face, wiping her eyes","woman speaking in a strained, emotional tone; woman is crying and speaking in a distressed, high-pitched voice","[s001] Visual: A woman with brown hair lies in a hospital bed, wearing a white gown and looking distressed. A man in a light-colored jacket stands beside her, leaning over and speaking to her. The woman holds a white cloth to her head, and the man places his hand on her shoulder. | Audio: The woman is speaking in a strained, emotional tone, and the man is speaking in a concerned tone. There is a low hum in the background, possibly from medical equipment.
[s002] Visual: A woman in a white hospital gown lies in a hospital bed, visibly distressed and crying. A man in a light-colored shirt leans over her, looking down at her with a concerned expression. The woman raises her hand to her face, wiping her eyes. | Audio: The woman is crying and speaking in a distressed, high-pitched voice. The man speaks to her in a calm, reassuring tone."
meld_05_dia980,meld_05_dia980_q01,emotion_state,When does the man in the gray sweater appear frustrated while speaking?,"[5.0, 10.0]",s002,holds a small white card; gestures with his hands while speaking,A man speaks in a questioning and slightly exasperated tone.,"[s002] Visual: The man in the gray sweater holds a small white card and gestures with his hands while speaking. The man in the black jacket sits across from him, listening intently. A red plastic cup sits on the table between them. | Audio: A man speaks in a questioning and slightly exasperated tone. The audience laughs in the background."
meld_06_dia823,meld_06_dia823_q01,emotion_state,When does the blonde woman in the patterned shirt appear happy as she enters the room and speaks?,"[0.0, 10.0]","s001,s002",smiling; expression pleased; animated expression; gestures with her hands,"speaks in a cheerful tone; voice is clear and friendly; speaking in a conversational tone, with a slight upward inflection at the end of her sentences","[s001] Visual: A blonde woman in a patterned shirt and black pants walks into a living room, smiling and holding a purple jacket. She stops and turns to speak to someone off-screen, her expression pleased. In the background, other people are visible sitting on a couch and standing near a kitchen area. | Audio: A woman speaks in a cheerful tone, followed by a man's voice. The woman's voice is clear and friendly, and the man's voice is also audible.
[s002] Visual: A woman with long blonde hair, wearing a patterned blouse, stands in a room and gestures with her hands as she speaks. She is positioned in front of a wooden dresser with a television on top. Her expression is animated as she talks. | Audio: The woman is speaking in a conversational tone, with a slight upward inflection at the end of her sentences. The audio is clear and easy to understand."
meld_07_dia208,meld_07_dia208_q01,emotion_state,When does the man in the black sweater appear happy while looking at the man in the red plaid shirt?,"[5.0, 10.0]",s002,smiling slightly as he looks at the other man,,"[s002] Visual: The man in the red plaid shirt sits with his arms crossed, looking down and then to his right with a pensive expression. The man in the black sweater sits beside him, resting his chin on his hand and smiling slightly as he looks at the other man. They are seated at a small round table with two mugs and a sugar bowl between them, in what appears to be a cafe or bar setting. | Audio: A male voice speaks in a conversational tone, followed by a loud, sustained, low-pitched electronic buzz."
moviechat_01_162,moviechat_01_162_q02,evidence_cue,"When does the man in the dark suit look down with a somber expression, showing sadness?","[40.0, 45.0]",s009,"A man in a dark suit and striped tie is shown in a close-up, looking down with a somber expression.","The audio consists of a low, continuous hum, possibly from a vehicle or machinery, with no other discernible sounds.","[s009] Visual: A man in a dark suit and striped tie is shown in a close-up, looking down with a somber expression. The background is blurred, suggesting an outdoor setting with indistinct shapes and lights. The camera slowly pans to the right, revealing the side of a car and more of the out-of-focus background. | Audio: The audio consists of a low, continuous hum, possibly from a vehicle or machinery, with no other discernible sounds."
moviechat_02_154,moviechat_02_154_q12,evidence_cue,"What moment shows two men walking towards a luxury sedan at night on a wet street, with rhythmic footsteps and an ambient hum, contributing to a sense of fear?","[55.0, 60.0]",s012,"Two men in dark suits walk side-by-side on a wet, reflective pavement at night.; The man on the left carries a briefcase.","The rhythmic sound of footsteps on pavement is heard, accompanied by a low, ambient hum.","[s012] Visual: Two men in dark suits walk side-by-side on a wet, reflective pavement at night. The man on the left carries a briefcase. They walk towards a parked dark-colored luxury sedan in a city street, with tall buildings and streetlights in the background. | Audio: The rhythmic sound of footsteps on pavement is heard, accompanied by a low, ambient hum."
moviechat_03_160,moviechat_03_160_q01,emotion_state,When does the man in the light-colored shirt appear frustrated?,"[0.0, 5.0]",s001,raising his hands to his head in a gesture of frustration or stress,"A rhythmic, percussive beat plays in the background, creating a tense atmosphere.","[s001] Visual: A man in a light-colored shirt sits in a dimly lit room, looking down at a laptop. Another person is visible in the background, out of focus. The man then looks up, his expression serious, before raising his hands to his head in a gesture of frustration or stress. | Audio: A rhythmic, percussive beat plays in the background, creating a tense atmosphere."
moviechat_04_159,moviechat_04_159_q01,emotion_state,When does the man with short dark hair and a goatee appear sad while lighting a cigarette?,"[0.0, 5.0]",s001,looks down with a somber expression,distinct sound of a lighter being flicked and a cigarette being lit,"[s001] Visual: A man with short dark hair and a goatee, wearing a dark jacket, looks down with a somber expression. He brings a cigarette to his lips and lights it with a lighter held by another man in a suit and glasses. The second man, partially visible, holds the lighter, illuminating the first man's face in the dark setting. | Audio: A male voice speaks in Mandarin, followed by the distinct sound of a lighter being flicked and a cigarette being lit."
moviechat_05_30,moviechat_05_30_q01,explicit_event,"When does the man in the black robe appear to be shouting or casting a spell, accompanied by a loud, distorted scream?","[20.0, 25.0]",s005,"man with a pale, gaunt face and dark, hollow eyes, wearing a black robe, raises his right arm, holding a wand, appears to be shouting or casting a spell; intense expression","loud, distorted scream; deep, rumbling sound effect","[s005] Visual: A man with a pale, gaunt face and dark, hollow eyes, wearing a black robe, is shown in a close-up. He raises his right arm, holding a wand, and appears to be shouting or casting a spell. The scene is dark and atmospheric, with a focus on the man's intense expression and the raised wand. | Audio: A loud, distorted scream is heard, followed by a deep, rumbling sound effect."
