video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,emotion_state,When does the woman appear surprised while listening to the man?,40-45s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,explicit_event,When does the man in the brown suit smile and make a 'call me' gesture while riding his bicycle?,30-35s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,emotion_state,At what point does the man in the brown suit seem happy while cycling past other cyclists?,40-50s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q01,emotion_state,When does the young child appear sad and distressed?,5-20s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,evidence_cue,"When does the young boy cry loudly, with his face contorted in distress and hands possibly holding a dark object?",10-35s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q04,evidence_cue,"When does the young boy cry with his face contorted in distress, holding an injured hand with blood on it?",35-45s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q05,explicit_event,When does the young boy shout loudly in distress while leaning over another person?,45-50s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q06,evidence_cue,When does the young boy cry with a distressed tone while speaking and leaning over an older man?,50-55s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q07,evidence_cue,"When does the young boy cry while an adult man is visible, and a man in a black shirt appears distressed, covering his face?",55-60s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q12,emotion_state,When does the young child appear sad and distressed while clinging to a man's leg?,80-85s,,,
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q13,emotion_state,"When does the young boy appear sad, crying and shouting while being held by an adult man who tries to comfort him?",85-90s,,,
meld_01_dia337,meld_01_dia337_q01,emotion_state,When does the man in the blue shirt appear surprised?,55-60s,,,
meld_01_dia337,meld_01_dia337_q02,evidence_cue,When does the man in the blue shirt turn his head sharply and show a look of surprise and concern?,55-60s,,,
meld_01_dia337,meld_01_dia337_q03,explicit_event,When does the man in the blue shirt speak with a tone of surprise and concern?,55-65s,,,
meld_01_dia337,meld_01_dia337_q05,evidence_cue,When does the man in the pink shirt look up and to his left with a surprised expression?,65-67.9s,,,
meld_03_dia572,meld_03_dia572_q01,emotion_state,When does the woman appear sad while clutching her stomach?,5-10s,,,
meld_03_dia572,meld_03_dia572_q02,evidence_cue,"When does the woman groan in pain, indicating sadness?",10-15s,,,
meld_03_dia572,meld_03_dia572_q04,evidence_cue,"When does the woman's voice sound high-pitched and strained, indicating anger?",45-51.81s,,,
