video_id,query_id,query_type,final_query,time_range,human_decision,revised_query,human_notes
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q01,explicit_event,What does the child seem to be doing while holding a knife and writing on the door?,55-60s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q02,evidence_cue,What moment shows the child holding a knife in one hand and a marker in the other while looking at the door?,55-60s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q03,explicit_event,"At what point does the child shout in a high-pitched, frantic tone while holding a knife towards the woman?",65-70s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q04,emotion_state,When does the woman appear frightened with wide eyes and an open mouth while holding the child?,85-90s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q05,evidence_cue,Show the moment where the woman is hugging the child tightly with wide eyes and an open mouth.,75-80s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q06,explicit_event,When does the man swing an axe at the door with an angry expression and gritted teeth?,80-85s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q07,emotion_state,"When does the child seem to be in fear, holding a knife and looking at the woman?",65-70s,,,
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q08,evidence_cue,"What moment shows the woman with wide eyes and an open mouth, sitting up abruptly in bed?",65-70s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,emotion_state,What is the expression on the man in the brown suit's face as he rides his bicycle?,10-15s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,emotion_state,When does the man in the brown suit look excited while riding his bicycle?,25-30s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,emotion_state,At what point does the man in the brown jacket appear happy while riding his bicycle?,30-35s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q04,emotion_state,When does the man in the brown suit appear happy while cycling?,35-40s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q05,emotion_state,At what point does the man in the brown suit look happy while riding his bicycle?,40-45s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q06,evidence_cue,When does the man in the brown suit bend forward and look down?,50-55s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q07,evidence_cue,What is the man in the brown jacket and red tie doing with his right hand to his ear?,30-35s,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q08,emotion_state,When does the man in the suit look surprised as he enters a dark room?,110-115s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q01,evidence_cue,When does a loud crash and a panicked shout occur?,0-5s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,explicit_event,"When does a person in a dark, hooded outfit run and look back over their shoulder?",5-10s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q03,explicit_event,At what point does a man in a dark hooded jacket walk through a room and look at his reflection?,10-15s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q04,emotion_state,When does the woman with wet hair appear to be in fear while leaning back with her head tilted up?,15-20s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q05,emotion_state,At what point does the person in the dark hooded sweatshirt appear fearful while looking towards the camera with their mouth open?,25-30s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q06,emotion_state,When does the woman look up with wide eyes and a visible expression of fear?,30-35s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q07,explicit_event,"At what point does a person make a sharp, pained gasp while lying down with their eyes closed?",35-40s,,,
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q08,explicit_event,When does the woman in a white shirt press her hands and face against a mirror?,40-45s,,,
